OMRÅDE;TID;CIVILSTAND;INDHOLD
København;2020K1;Ugift;412512
København;2020K1;I alt;632340
København;2020K2;Ugift;414072
København;2020K2;I alt;633449
København;2020K3;Ugift;414218
København;2020K3;I alt;633035
København;2020K4;Ugift;417782
København;2020K4;I alt;637936
Aalborg;2020K1;Ugift;118194
Aalborg;2020K1;I alt;217075
Aalborg;2020K2;Ugift;118355
Aalborg;2020K2;I alt;217063
Aalborg;2020K3;Ugift;118694
Aalborg;2020K3;I alt;217316
Aalborg;2020K4;Ugift;120226
Aalborg;2020K4;I alt;219310
Aarhus;2020K1;Ugift;208509
Aarhus;2020K1;I alt;349983
Aarhus;2020K2;Ugift;208755
Aarhus;2020K2;I alt;349956
Aarhus;2020K3;Ugift;208470
Aarhus;2020K3;I alt;349433
Aarhus;2020K4;Ugift;211863
Aarhus;2020K4;I alt;353445
Frederiksberg;2020K1;Ugift;60781
Frederiksberg;2020K1;I alt;104305
Frederiksberg;2020K2;Ugift;60894
Frederiksberg;2020K2;I alt;104294
Frederiksberg;2020K3;Ugift;60802
Frederiksberg;2020K3;I alt;104118
Frederiksberg;2020K4;Ugift;61020
Frederiksberg;2020K4;I alt;104351
Odense;2020K1;Ugift;112490
Odense;2020K1;I alt;204895
Odense;2020K2;Ugift;112889
Odense;2020K2;I alt;205106
Odense;2020K3;Ugift;112672
Odense;2020K3;I alt;204718
Odense;2020K4;Ugift;113639
Odense;2020K4;I alt;205881